UserID,No Of Abuse Report,No Of Rejected Friend Requests,No Of Freind Requests Thar Are Not Accepted,No Of Friends,No Of Followers,No Of Likes To Unknown Account,No Of Comments Per Day,Fake Or Not Category
852,79,309,94,982,115,20,34,1
82,9,656,870,877,239,87,10,1
500,31,501,684,120,201,58,84,1
790,66,161,412,882,34,7,73,1
514,75,351,316,218,435,92,13,1
74,8,610,584,607,847,50,72,0
314,69,803,112,261,263,96,13,1
201,60,854,661,964,407,1,40,1
625,9,115,685,382,315,84,42,1
64,52,716,852,416,38,75,29,1
321,39,197,908,850,274,13,32,1
750,94,7,656,759,245,42,13,1
972,57,177,540,281,428,23,38,1
312,30,862,552,956,820,51,54,1
394,64,22,897,321,909,70,31,1
321,39,197,908,850,274,13,32,1
788,35,339,652,324,828,1,82,1
78,44,597,89,847,488,12,26,1
769,29,650,501,557,455,3,56,0
88,68,966,65,419,507,68,76,1
